Company Name,ISIN,Target Qualification,Country,Region,Sector,Status,Date Committed / Target published,About
thinkstep Australasia,,1.5C,New Zealand,Oceania,Professional Services,Targets Set,Sep 2019,"Sustainability consultancy thinkstep Australasia commits to reduce absolute scope 1 and 2 GHG emissions 51% by 2030 from a 2018 base year*. thinkstep Australasia also commits to reduce absolute scope 3 emissions from business travel and employee commuting 38% within the same timeframe.

 *The target boundary includes biogenic emissions and removals associated with the use of bioenergy."
Arm Holdings,GB0000595859,,United Kingdom (UK),Europe,Semiconductors and Semiconductors Equipment,Committed,Apr 2018,
CRH plc,IE0001827041,,Ireland,Europe,Construction Materials,Committed,Apr 2018,
Lassila & Tikanoja plc,FI0009010854,Well-below 2C,Finland,Europe,Professional Services,Targets Set,Mar 2020,Lassila & Tikanoja plc commits to reduce scope 1 and 2 GHG emissions 50% per km by 2030 from a 2018 base year. Lassila & Tikanoja plc commits that 70% of its suppliers by spend covering purchased goods and services will have science-based targets by 2024.
A2A S.p.A.,IT0001233417,2C,Italy,Europe,Electric Utilities and Energy Related,Targets Set,Mar 2020,"Italian multi-utility company A2A S.p.A commits to reduce scope 1 GHG emissions 46% per kWh by 2030 from a 2017 base year. A2A commits to reduce absolute scope 2 GHG emissions 100% by 2024 from a 2017 base year. A2A also commits to reduce absolute scope 3 GHG emissions from purchased goods and services and use of sold products 20% by 2030 from a 2017 base year*.

*The target boundary includes biogenic emissions and removals from bioenergy feedstocks."
VIÑA CONCHA Y TORO,CLP9796J1008,1.5C,Chile,Latin America,Food and Beverage Processing,Targets Set,Dec 2019,"Latin American wine producer Viña Concha y Toro commits to reduce absolute scope 1, 2 and 3 GHG emissions 55% by 2030."
Dexus,AU000000DXS1,1.5C,Australia,Oceania,Real Estate,Targets Set,Jul 2019,Australian real estate investment trust Dexus commits to reduce absolute scope 1 and 2 GHG emissions 70% and absolute scope 3 emissions 25% by 2030 from a 2018 base year.
Commercial International Bank Egypt (SAE) CIB,EGS60121C018,,Egypt,Africa,"Banks, Diverse Financials and Insurance",Committed,Apr 2018,
O-I Glass,US6907684038,2C,United States of America (USA),North America,Containers and Packaging,Targets Set,Mar 2020,"O-I Glass, Inc. commits to reduce absolute scope 1, 2 and 3 GHG emissions 25% by 2030 from a 2017 base year."
AptarGroup Inc.,US0383361039,,United States of America (USA),North America,Containers and Packaging,Committed,Apr 2018,
DFH Deutsche Fertighaus Holding AG,,,Germany,Europe,Construction Materials,Committed,Apr 2018,
Applied Optoelectronics Inc.,US03823U1025,,United States of America (USA),North America,Telecommunications,Committed,Apr 2018,
Mahindra Accelo,,,India,Asia,"Mining - Metals (Iron, Aluminium, Other Metals)",Committed,May 2018,
Mahindra & Mahindra Financial Services Limited,INE774D01024,,India,Asia,"Banks, Diverse Financials and Insurance",Committed,May 2018,
Mahindra First Choice Services Ltd.,,Well-below 2C,India,Asia,Automobiles and Components,Targets Set,Nov 2019,Used car company Mahindra First Choice Services Limited commits to reduce absolute Scope 1 and 2 GHG emissions 47% by 2032 from a 2017 base year. Mahindra First Choice Services Limited commits to reduce absolute Scope 3 GHG emissions 20% by 2032 from a 2017 base year
Mahindra Holidays and Resorts India Limited,INE998I01010,1.5C,India,Asia,Hospitality,Targets Set,Feb 2020,Indian travel company  Mahindra Holidays and Resorts India Limited commits to reduce scope 1 and scope 2 GHG emissions 88.3 % per room night booked by 2031 from a 2016 base year. Mahindra Holidays and Resorts India Limited also commits to reduce scope 3 GHG emissions 88.3 % per room night booked over the same time period
Mahindra Lifespaces Developers Limited,INE813A01018,1.5C,India,Asia,Real Estate,Targets Set,Nov 2019,"Real estate and infrastructure development company Mahindra Lifespace Developers Ltd., commits to reduce absolute scope 1 and 2 GHG emissions 63% by 2033 from a 2018 base year. Mahindra Lifespace Developers Ltd., commits to reduce absolute scope 3 GHG emissions 20% by 2033 from a 2018 base year."
Mahindra Logistics Ltd.,INE766P01016,,India,Asia,Air Freight Transportation and Logistics,Committed,May 2018,
Mahindra World City Developers Ltd,,1.5C,India,Asia,Real Estate,Targets Set,Nov 2019,"Real estate development company Mahindra World City Developers Ltd., commits to reduce absolute scope 1 and scope 2 GHG emissions 63% by 2031 from a 2016 base year*

*The target boundary includes biogenic emissions and removals from bioenergy feedstocks.”"
Mahindra World City (Jaipur) Ltd.,,1.5C,India,Asia,Real Estate,Targets Set,Nov 2019,Commercial and township property project Mahindra World City (Jaipur) Ltd. commits to reduce absolute scope 1 and scope 2 GHG emissions 63% by 2033 from a 2018 base year. Mahindra World City (Jaipur) Ltd. also commits to reduce absolute scope 3 GHG emissions 20% by 2033 from a 2018 base year.
Mahindra Susten,,,India,Asia,Electric Utilities and Energy Related,Committed,May 2018,
Bristlecone Inc,,Well-below 2C,United States of America (USA),North America,Professional Services,Targets Set,Aug 2019, Supply chain consulting and system Integration multinational company Bristlecone commits to reduce absolute scope 1 and 2 GHG emissions 38% by 2032 from a 2017 base year. Bristlecone also commits to reduce absolute scope 3 GHG emissions 20% by 2032 from a 2017 base year.
Raiffeisen Bank International AG,AT0000606306,,Austria,Europe,"Banks, Diverse Financials and Insurance",Committed,May 2018,
PostNL,NL0009739416,1.5C,Netherlands,Europe,Air Freight Transportation and Logistics,Targets Set,May 2019,"Dutch postal company PostNL commits to reduce absolute scope 1, 2 and 3 GHG emissions 18% by 2030 from a 2017 base year. PostNL also commits to continue annual sourcing of 100% renewable electricity through 2025."
The Warehouse Group,NZWHSE0001S6,,New Zealand,Oceania,Retailing,Committed,May 2018,
Allianz Investment Management SE,DE0008404005,,Germany,Europe,"Banks, Diverse Financials and Insurance",Committed,May 2018,
RENAS AS,,,Norway,Europe,Electrical Equipment and Machinery,Committed,May 2018,
Liberty Global,GB00B8W67662,,United Kingdom (UK),Europe,Media,Committed,May 2018,
Nokian Tyres plc,FI0009005318,,Finland,Europe,Automobiles and Components,Committed,May 2018,
Scottish Hydro Electric Transmission Plc,,,United Kingdom (UK),Europe,Electric Utilities and Energy Related,Committed,May 2018,
"YAMAHA MOTOR CO., LTD.",JP3942800008,,Japan,Asia,Automobiles and Components,Committed,May 2018,
Hilton,US43300A2033,2C,United States of America (USA),North America,Hospitality,Targets Set,May 2018,Global hotels and resorts brand Hilton commits to reduce Scope 1 and 2 GHG emissions 61% per square meter by 2030 from a 2008 base-year. Hilton also commits to work with its franchisees to reduce Scope 3 GHG emissions from Franchises 52% per square meter by 2030 from a 2008 base-year.
Michelin,FR0000121261,,France,Europe,Automobiles and Components,Committed,May 2018,
Alaya Consulting Ltd.,,2C,Hong Kong,Asia,Professional Services,Targets Set,May 2019,"Environmental Management &amp; Consultancy Service Alaya Consulting commits to reduce scope 1 and 2 GHG emissions 47% per m2 by 2023 from a 2017 base year. Alaya Consulting also commits to reduce absolute scope 3 GHG emissions from purchased goods and services, capital goods, waste generated in operations, business travel and employee commuting 7% by 2023 from a 2017 base year."
FUJI OIL HOLDINGS INC.,JP3816400000,,Japan,Asia,Food and Beverage Processing,Committed,Jun 2018,
Quiqup,,,United Kingdom (UK),Europe,Air Freight Transportation and Logistics,Committed,Jun 2018,
Iron Mountain,US46284V1017,2C,United States of America (USA),North America,Software and Services,Targets Set,Feb 2019,"American enterprise information management services company Iron Mountain commits to reduce absolute scope 1, 2 and 3 GHG emissions 20% by 2025 from a 2016 base-year."
New Zealand Post,NZNZPD1114L0,1.5C,New Zealand,Oceania,Air Freight Transportation and Logistics,Targets Set,Jan 2019,"State-owned postal service, New Zealand Post, commits to reduce absolute scope 1, 2 and 3 GHG emissions 32% by FY2030 from a FY2018 base year."
Casino Guichard Perrachon SA,FR0000125585,2C,France,Europe,Food and Staples Retailing,Targets Set,Sep 2019, French mass-retail Group Casino group commits to reduce absolute scope 1 and 2 GHG emissions 18% by 2025 from a 2015 base year. Casino group commits to reduce absolute scope 3 GHG emissions from purchased goods and services 10% by 2025 from a 2018 base year. Casino group also commits to reduce absolute scope 3 GHG emissions from use of sold products 10% by 2025 from a 2018 base year.
The Cadmus Group LLC,,,United States of America (USA),North America,Professional Services,Committed,Jun 2018,
"Otsuka Pharmaceutical Co., Ltd.",,2C,Japan,Asia,Pharmaceuticals and Biotech,Targets Set,Sep 2019,"Pharmaceutical company Otsuka Pharmaceutical Co., Ltd. commits to reduce absolute scope 1 and 2 GHG emissions 30% by 2030 from a 2017 base year. Otsuka Pharmaceutical also commits to reduce absolute scope 3 GHG emissions 20% by 2030 from a 2017 base year."
JLL,US48020Q1076,,United States of America (USA),North America,Real Estate,Committed,Jun 2018,
International Flavors & Fragrances Inc.,US4595061015,Well-below 2C,United States of America (USA),North America,Chemicals,Targets Set,Jun 2018,"American producer of flavors and fragrances and cosmetic actives International Flavors &amp; Fragrances, Inc. commits to reduce absolute scope 1 and 2 GHG emissions 30% by 2025, from a 2015 base-year. International Flavors &amp; Fragrances, Inc., also commits to working with its suppliers (representing 70% of its supply chain emissions) so that they set their own science-based reduction targets and report annual emissions by 2025."
Barilla G.R. Fratelli SpA,,,Italy,Europe,Food and Beverage Processing,Committed,Apr 2018,
ORANGE,FR0000133308,,France,Europe,Telecommunications,Committed,Jun 2018,
ERM,,Well-below 2C,United Kingdom (UK),Europe,Professional Services,Targets Set,Mar 2019,"Management consulting services company ERM commits to a 30% reduction in absolute scope 1&amp;2 GHG emissions by 2025 from a 2014 base year.

ERM commits to an 11% reduction in absolute GHG emissions from business travel and employee commuting by 2025 from a 2018 base year."
Molson Coors Brewing Company,US60871R2094,1.5C,United States of America (USA),North America,Food and Beverage Processing,Targets Set,Aug 2019,"Multinational brewing company Molson Coors Brewing Company commits to reduce absolute scope 1 and 2 GHG emissions 50% by 2025 from a 2016 base year, and to reduce absolute GHG emissions from across the value chain 20% by 2025 from a 2016 base year."
"Eisai Co., Ltd.",JP3160400002,2C,Japan,Asia,Pharmaceuticals and Biotech,Targets Set,May 2019,"Japanese pharmaceutical company Eisai Co., Ltd. commits to reduce absolute scope 1 and 2 GHG emissions 30% by FY2030 from a FY2016 base year. Eisai Co., Ltd. also commits to reduce absolute scope 3 GHG emissions from purchased goods and services 30 % within the same timeframe."
Ports of Auckland Limited,NZPOAE0001S4,,New Zealand,Oceania,Water Transportation,Committed,Jul 2018,
SKYCITY Entertainment Group Limited,NZSKCE0001S2,Well-below 2C,New Zealand,Oceania,Hospitality,Targets Set,Feb 2019,"Entertainment and gaming business SKYCITY Entertainment Group Limited commits to reduce absolute scope 1 and 2 GHG emissions 38% by 2030 and 73% by 2050 from a 2015 base year. SKYCITY Entertainment Group Limited commits that 67% of its suppliers by spend, covering purchased goods and services and capital goods, will set science-based targets by 2023."
Green Element Limited,,2C,United Kingdom (UK),Europe,Professional Services,Targets Set,Mar 2019,Environmental Management Consultancy Green Element Limited commits to reduce scope 1 and 2 GHG emissions 52.4% per square meter by 2023 from a 2018 base-year. Green Element also commits to reduce absolute scope 3 GHG emissions 13% by 2023 from a 2018 base-year.
Kimberly-Clark Corporation,US4943681035,,United States of America (USA),North America,Consumer Products and Durables,Committed,Dec 2017,
Verdani Partners,,,United States of America (USA),North America,Professional Services,Committed,Jul 2018,
DGB FINANCIAL GROUP,KR7139130009,,South Korea,Asia,"Banks, Diverse Financials and Insurance",Committed,Jul 2018,
OMRON Corporation,JP3197800000,,Japan,Asia,Technology Hardware and Equipment,Committed,Jul 2018,
"Altria Group, Inc.",US02209S1033,,United States of America (USA),North America,Tobacco,Committed,Jul 2018,
Standard Chartered Bank,GB0004082847,,United Kingdom (UK),Europe,"Banks, Diverse Financials and Insurance",Committed,Jul 2018,
Mastercard,US57636Q1040,2C,United States of America (USA),North America,Software and Services,Targets Set,Jul 2018,"Multinational financial services corporation Mastercard commits to reduce absolute Scope 1, 2 and 3 GHG emissions 20% by 2025 from a 2016 base-year."
"Nippon Sheet Glass, Co., Ltd. (NSG Group).",JP3686800008,2C,Japan,Asia,Building Products,Targets Set,Oct 2019,"Japanese multinational flat glass and functional glass products manufacturer Nippon Sheet Glass, Co., Ltd. (NSG Group) commits to reduce absolute scope 1 and 2 GHG emissions 21% by 2030 from a 2018 base year.*

*The target boundary includes biogenic emissions and removals from bioenergy feedstocks."
Hera,IT0001250932,,Italy,Europe,Gas Utilities,Committed,Jul 2018,
The Kraft Heinz Company,US5007541064,,United States of America (USA),North America,Food and Beverage Processing,Committed,Jul 2018,
CHANEL,,,France,Europe,"Textiles, Apparel, Luxury Goods",Committed,Aug 2018,
Multiplex Construction Europe,,1.5C,United Kingdom (UK),Europe,Construction and Engineering,Targets Set,Feb 2019,International construction contractor Multiplex Construction Europe commits to reduce absolute scope 1 and 2 GHG emissions 55% by 2030 from a 2017 base year. The company also commits that key suppliers representing 95% of emissions from purchased goods will set a science-based emission reduction target by 2023.
Geo-Tech Consultancy Services,,,Pakistan,Asia,Professional Services,Committed,Aug 2018,
"Berry Global Group, Inc.",US08579W1036,,United States of America (USA),North America,Containers and Packaging,Committed,Aug 2018,
Boston Properties,US1011211018,,United States of America (USA),North America,Real Estate,Committed,Aug 2018,
TATA CHEMICALS LIMITED,INE092A01019,,India,Asia,Chemicals,Committed,Aug 2018,
Ball Corporation,US0584981064,,United States of America (USA),North America,Containers and Packaging,Committed,Aug 2018,
Iren S.p.A.,IT0003027817,,Italy,Europe,Electric Utilities and Energy Related,Committed,Aug 2018,
Dalmia Bharat Limited,INE439L01019,,India,Asia,Construction Materials,Committed,Aug 2018,
Denner AG,,,Switzerland,Europe,Retailing,Committed,Aug 2018,
Ambuja Cement Ltd,INE079A01024,,India,Asia,Construction Materials,Committed,Aug 2018,
Grant Thornton UK LLP,,1.5C,United Kingdom (UK),Europe,Professional Services,Targets Set,Nov 2019,Professional services network Grant Thornton UK LLP commits to reduce absolute scopes 1 and 2 GHG emissions 21% by 2023 from a 2018 base year. Grant Thornton UK LLP also commits to reduce absolute scope 3 GHG emissions 21% by 2023 from a 2018 base year.
TPK Touch Solutions (Xiamen) INC.,,,China,Asia,Technology Hardware and Equipment,Committed,Aug 2018,
ABB,CH0012221716,,Switzerland,Europe,Electrical Equipment and Machinery,Committed,Aug 2018,
EPC Industrie Limited,,,India,Asia,Commercial services and supplies,Committed,Aug 2018,
Lenovo,HK0992009065,,China,Asia,Technology Hardware and Equipment,Committed,Aug 2018,
MAHINDRA ELECTRIC MOBILITY LTD,,Well-below 2C,India,Asia,Automobiles and Components,Targets Set,Nov 2019,Indian electric vehicle company Mahindra Electric Mobility Limited commits to reduce scope 1 and 2 GHG emissions 35% per vehicle produced by 2033 from a 2018 base year. Mahindra Electric Mobility Limited also commits to reduce scope 3 GHG emissions 30% per vehicle by 2033 from a 2018 base year.
Swire Properties Limited,HK0000063609,2C,Hong Kong,Asia,Real Estate,Targets Set,Nov 2019,"Property developer, owner and operator Swire Properties Limited commits to reduce scope 1 and 2 GHG emissions 35% per square meter by 2025 and 52% per square meter by 2030 from a 2018 base year. Swire Properties Limited also commits to reduce scope 3 GHG emissions from downstream leased assets 28% per square meter by 2030 from a 2018 base year and from capital goods 25% per square meter by 2030 from a 2016 - 2018 base year."
ASICS Corporation,JP3118000003,Well-below 2C,Japan,Asia,"Textiles, Apparel, Luxury Goods",Targets Set,Aug 2018,"Multinational Japanese footwear, apparel and sports equipment company ASICS Corporation commits to reduce absolute scope 1 and 2 GHG emissions 38% by 2030 from a 2015 base year. ASICS also commits to reduce scope 3 GHG emissions from purchased goods and services and end-of-life treatment of sold products 55% per product manufactured by 2030 from a 2015 base year"
Johnson Controls plc,IE00BY7QL619,,Ireland,Europe,Technology Hardware and Equipment,Committed,Aug 2018,
Marico Limited,INE196A01026,,India,Asia,Consumer Products and Durables,Committed,Aug 2018,
Maisons du Monde,FR0013153541,1.5C,France,Europe,Retailing,Targets Set,Sep 2019,"French furniture and home decor company Maisons du Monde commits to reduce absolute scope 1 and 2 GHG emissions 50% by 2030 from a 2018 base year. Maisons du Monde also commits to reduce scope 3 GHG emissions from purchase of products, transportation of products and customer travel 15% by 2030 from a 2018 base year."
Vasakronan AB,,Well-below 2C,Sweden,Europe,Real Estate,Targets Set,May 2019,"Real estate company Vasakronan AB  commits to reduce absolute scope 1,2, and 3 GHG emissions 50 % by 2030 from a 2017 base-year."
Mahindra Automotive Australia Pty Ltd,,,Australia,Oceania,Automobiles and Components,Committed,Aug 2018,
Agder Energi,,,Norway,Europe,Electric Utilities and Energy Related,Committed,Aug 2018,
CMS Cameron McKenna Nabarro Olswang LLP,,,United Kingdom (UK),Europe,Professional Services,Committed,Aug 2018,
ASKUL Corporation,JP3119920001,1.5C,Japan,Asia,Retailing,Targets Set,Aug 2018,ASKUL Corporation commits to reduce its absolute scope 1 and 2 GHG emissions to zero by 2030. ASKUL Corporation also commits to reduce its absolute scope 3 emissions 12% by 2030 from a 2015 base year. The scope 3 target covers purchased goods and services and upstream transportation and distribution.
Swaraj Engines Limited,INE277A01016,,India,Asia,Automobiles and Components,Committed,Sep 2018,
dormakaba,CH0011795959,,Switzerland,Europe,Technology Hardware and Equipment,Committed,Sep 2018,
Gromax Agri Equipment Limited,,,India,Asia,Automobiles and Components,Committed,Sep 2018,
Informa plc,GB00BMJ6DW54,Well-below 2C,United Kingdom (UK),Europe,Professional Services,Targets Set,Jul 2019,Multinational events and publishing company Informa commits to reduce absolute Scope 1 and 2 GHG emissions 50% by 2030 from a 2017 base year. Informa commits to reduce absolute Scope 3 GHG emissions 20% by 2030 from a 2017 base year.
AECOM,US00766T1007,Well-below 2C,United States of America (USA),North America,Construction and Engineering,Targets Set,Mar 2020,AECOM commits to reduce absolute scope 1 and 2 GHG emissions 20% by 2025 from a 2018 base year. AECOM commits to reduce absolute scope 3 GHG emissions from purchased goods & services and capital goods 10% by 2025 from a 2018 base year.
Asahi Group Holdings,JP3116000005,2C,Japan,Asia,Food and Beverage Processing,Targets Set,Sep 2018,"Brewery and soft drink company, Asahi Group Holdings Ltd. commits to reduce absolute scope 1 and 2 GHG emissions 30% by 2030 and reach zero absolute GHG emissions by 2050 from a 2015 base-year. Asahi Group Holdings Ltd. also commits to reduce absolute Scope 3 GHG emissions 30% by 2030 and reach zero GHG emissions by 2050 from a 2015 base-year."
"Mahindra USA, Inc.",,,United States of America (USA),North America,Electrical Equipment and Machinery,Committed,Sep 2018,
YES Bank,INE528G01019,,India,Asia,"Banks, Diverse Financials and Insurance",Committed,Sep 2018,
Pernod Ricard,FR0000120693,Well-below 2C,France,Europe,Food and Beverage Processing,Targets Set,Aug 2019,French beverage company Pernod Ricard commits to reduce absolute Scope 1 and 2 GHG emissions 30% by 2030 from a 2018 base year. Pernod Ricard commits to increase annual sourcing of renewable electricity from 74.5% in 2018 to 100% by 2025. Pernod Ricard also commits to reduce Scope 3 GHG emissions from purchased goods and services and upstream transportation and distribution by 50% per unit of value added by 2030 from a 2018 base year.
Mahindra Automotive North America,,,United States of America (USA),North America,Automobiles and Components,Committed,Sep 2018,
Cundall Johnston and Partners LLP,,Well-below 2C,United Kingdom (UK),Europe,Professional Services,Targets Set,Sep 2019, Multi-disciplinary engineering consultancy Cundall Johnston and Partners commits to reduce Scope 1 and 2 GHG emissions by 63% per FTE by 2025 from a 2015 base-year. Cundall commits to reduce Scope 3 GHG emissions 57 % per FTE for purchased goods and services as well as business travel by 2025 from a 2016 base-year.
Barry Callebaut,CH0009002962,1.5C,Switzerland,Europe,Food and Beverage Processing,Targets Set,Nov 2019,"Barry Callebaut commits to reduce absolute Scopes 1, 2, and 3 GHG emissions 35% by 2025 from a 2018 base year*.”

*The target boundary includes biogenic emissions and removals from bioenergy feedstocks"
Heathrow Airport,,,United Kingdom (UK),Europe,Air Transportation - Airport Services,Committed,Sep 2018,
Oriflame Cosmetics,SE0001174889,,Switzerland,Europe,Consumer Products and Durables,Committed,Sep 2018,
"Siemens Gamesa Renewable Energy, S.A.",ES0143416115,,Spain,Europe,Electric Utilities and Energy Related,Committed,Sep 2018,
Clif Bar & Company,,,United States of America (USA),North America,Food and Beverage Processing,Committed,Sep 2018,
Red Electrica de España,ES0173093115,2C,Spain,Europe,Electric Utilities and Energy Related,Targets Set,Sep 2018,Red Eléctrica de España commits to reduce Scope 1 and 2 GHG emissions 40 % per MWh transported by 2030 from a 2015 base-year.
Marshalls plc,GB00B012BV22,Well-below 2C,United Kingdom (UK),Europe,Construction Materials,Targets Set,Mar 2020,"Marshalls plc commits to reduce scope 1 and 2 GHG emissions 40% per tonne of production by 2030 from a 2018 base year. Marshalls plc commits that 73% of its suppliers by emissions, covering purchased goods and services and upstream transport and distribution, will have science-based targets by 2024."
Imerys,FR0000120859,2C,France,Europe,Construction Materials,Targets Set,Aug 2019,"French multinational company IMERYS commits to reduce scope 1 and 2 GHG emissions 36% per million Euros of revenue by 2030 from a 2018 base year. IMERYS also commits that 71% of its suppliers by spend will have science-based targets by 2023.

*A footnote will be included alongside the official target wording on the SBTi website: “The target boundary includes biogenic emissions and removals from bioenergy feedstocks.”"
ABN Amro Bank N.V.,NL0011540547,,Netherlands,Europe,"Banks, Diverse Financials and Insurance",Committed,Oct 2018,
"Conagra Brands, Inc.",US2058871029,,United States of America (USA),North America,Food and Beverage Processing,Committed,Oct 2018,
CMA CGM,,,France,Europe,Water Transportation,Committed,Oct 2018,
Magyar Telekom Plc.,HU0000073507,1.5C,Hungary,Europe,Telecommunications,Targets Set,Jan 2019,"Hungarian telecommunications company, Magyar Telekom Plc., commits to reduce absolute scope 1 and 2 GHG emissions 84% by 2030 from a 2015 base year. Magyar Telekom Plc. also commits to reduce absolute scope 3 GHG emissions 30% by 2030 from a 2017 base year."
Riverside Natural Foods Ltd.,,,Canada,North America,Food and Beverage Processing,Committed,Oct 2018,
Astellas Pharma Inc.,JP3942400007,2C,Japan,Asia,Pharmaceuticals and Biotech,Targets Set,Nov 2018,Japanese pharmaceutical company Astellas Pharma Inc. commits to reduce absolute Scope 1 and 2 GHG emissions 30% by 2030 from a 2015 base-year. Astellas Pharma Inc. also commits to reduce Scope 3 GHG emissions 20% per JPY of revenue by 2030 from a 2015 base-year.
Skunkfunk,,1.5C,Spain,Europe,"Textiles, Apparel, Luxury Goods",Targets Set,Oct 2018,"Sustainable fashion brand Skunkfunk commits to reduce absolute Scope 1 and 2 GHG emissions 37% by 2025 from a 2017 base-year. Skunkfunk also commits to reduce absolute Scope 3 GHG emissions from Purchased Goods and Services, Business Travel, and Upstream Transportation and Distribution 15% by 2025 from a 2017 base-year."
McLaughlin & Harvey,GB0005530430,,United Kingdom (UK),Europe,Construction and Engineering,Committed,Nov 2018,
Prologis,US74340W1036,2C,United States of America (USA),North America,Real Estate,Targets Set,Nov 2018," Multinational logistics real estate investment trust Prologis commits to reduce absolute scope 1 and 2 GHG emissions 21% by 2025, and 56% by 2040 from a 2016 base-year. Prologis also commits to reduce absolute scope 3 GHG emissions 15% by 2025 and 40% by 2040 from a 2016 base-year."
Cleveland Clinic Abu Dhabi,,,United Arab Emirates (UAE),Asia,Healthcare products and services,Committed,Oct 2018,
MEIDENSHA CORPORATION,JP3919800007,,Japan,Asia,Electrical Equipment and Machinery,Committed,Nov 2018,
FRASERS PROPERTY AUSTRALIA,,Well-below 2C,Australia,Oceania,Real Estate,Targets Set,May 2019,Property group Frasers Property Australia commits to reduce scope 1 and 2 GHG emissions 50% per square meter by 2028 from a 2017 base year. Frasers Property Australia also commits to reduce scope 3 GHG emissions 25% per square meter by 2028 from a 2017 base year.
Apotea,,,Sweden,Europe,Food and Staples Retailing,Committed,Nov 2018,
Elopak AS,,1.5C,Norway,Europe,Containers and Packaging,Targets Set,Dec 2019,"International supplier of paper based packaging solutions for liquid food Elopak commits to reduce absolute scope 1 and 2 GHG emissions 55% by 2030 from a 2017 base year and absolute scope 3 emissions 16% over the same time period.* Elopak commits to continue annually sourcing 100% renewable electricity through 2030.

*The target boundary includes biogenic emissions and removals from bioenergy feedstocks"
thinkstep AG,,,Germany,Europe,Professional Services,Committed,Nov 2018,
bpost SA,BE0974268972,2C,Belgium,Europe,Air Freight Transportation and Logistics,Targets Set,Nov 2018,Belgian national and international mail company Bpost SA commits to reduce absolute Scope 1 and 2 GHG emissions 20 % by 2030 from a 2017 base-year. Bpost also commits to reduce absolute Scope 3 GHG emissions from Upstream Transportation and Distribution 20% by 2030 from a 2017 base-year.
"KOBAYASHI PHARMACEUTICAL CO., LTD.",JP3301100008,,Japan,Asia,Consumer Products and Durables,Committed,Nov 2018,
Northern Design (Electronics) Ltd T/A ND Metering Solutions,,,United Kingdom (UK),Europe,Technology Hardware and Equipment,Committed,Nov 2018,
Bloomberg LP,,,United States of America (USA),North America,Software and Services,Committed,Nov 2018,
Havells India Limited,INE176B01034,,India,Asia,Electrical Equipment and Machinery,Committed,Nov 2018,
Swedbank AB,SE0000242455,,Sweden,Europe,"Banks, Diverse Financials and Insurance",Committed,Nov 2018,
BESTSELLER A/S,,,Denmark,Europe,"Textiles, Apparel, Luxury Goods",Committed,Dec 2018,
MERCIALYS,FR0010241638,Well-below 2C,France,Europe,Real Estate,Targets Set,Sep 2019,French real estate &amp; property management company Mercialys commits to reduce scope 1 and 2 GHG emissions 47% per square meter by 2030 from a 2017 base year. Mercialys commits to reduce scope 3 GHG emissions from downstream leased assets 46% per square meter and from waste generated in operations 26% per ton of waste by 2030 from a 2017 base year. Mercialys also commits to reduce absolute scope 3 GHG emissions from employee commuting and tenant and visitor travel 26% over the same timeframe.
Greystar Real Estate Partners,,,United States of America (USA),North America,Real Estate,Committed,Dec 2018,
Telia Company AB,SE0000667925,,Sweden,Europe,Telecommunications,Committed,Dec 2018,
Greif Holding GmbH & Co. KG,,2C,Germany,Europe,Commercial services and supplies,Targets Set,Jun 2019,Textile Rental Service Company Greif Textile Mietsysteme commits to reduce scope 1 and 2 GHG emissions by 38% per unit of gross value added by 2025 from a 2017 base year.”
diemietwaesche.de GmbH & Co. KG,,2C,Germany,Europe,Commercial services and supplies,Targets Set,Aug 2019,Textile Rental Service Company diemietwaesche.de commits to reduce scope 1 and 2 GHG emissions by 38% per unit of gross value added by 2025 from a 2017 base year
Japan Tobacco Inc.,JP3726800000,2C,Japan,Asia,Tobacco,Targets Set,Feb 2019,"Cigarette manufacturing company Japan Tobacco Inc. commits to reduce absolute Scope 1 and 2 GHG emissions 32% by 2030 from a 2015 base-year. Japan Tobacco Inc. commits to reduce absolute Scope 3 Category 1 GHG emissions 23% by 2030 from a 2015 base-year.*

* biogenic emissions/removals from the use of bioenergy are incorporated in the GHG inventory and target boundaries."
CBRE,US12504L1098,,United States of America (USA),North America,Real Estate,Committed,Jan 2019,
Netlight Consulting AB,,,Sweden,Europe,Professional Services,Committed,Jan 2019,
Austria Glas Recycling GmbH,,Well-below 2C,Austria,Europe,Solid Waste Management Utilities,Targets Set,Mar 2019,"Glass collection &amp; recycling company Austria Glas Recycling GmbH commits to reduce absolute Scope 1 and 2 GHG emissions 50% by 2030 from 2017 base year. In addition, Austria Glas Recycling GmbH commits to reduce absolute Scope 3 emissions from transportation by 25 % by 2030 from a 2017 base year."
The Hershey Company,US4278661081,,United States of America (USA),North America,Food and Beverage Processing,Committed,Jan 2019,
Azbil Corporation,JP3937200008,2C,Japan,Asia,Electrical Equipment and Machinery,Targets Set,Jun 2019,Automation products and services providers Azbil Corporation commits to reduce absolute scope 1 and 2 GHG emissions 30% by 2030 from a 2013 base year. Azbil Corporation also commits to reduce absolute scope 3 GHG emissions 20% by 2030 from a 2017 base year
VALLOUREC,FR0000120354,,France,Asia,Building Products,Committed,Jan 2019,
"AvalonBay Communities, Inc.",US0534841012,2C,United States of America (USA),North America,Real Estate,Targets Set,Jul 2019,Real estate investment trust AvalonBay commits to reduce scope 1 and 2 GHG emissions 53% per square foot by 2030 from a 2017 base year. AvalonBay also commits to reduce scope 3 emissions 47% per square foot within the same timeframe.
